ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1834988278,70.65,2.52,40.81,,17.66,-5.51,-1.67,-2.44,1.558,3.797,4.899,12.814,1.86,45.343,,,,,,67.2
LU3121015211,51.13,10.54,,,15.61,-10.31,-0.7,-2.26,4.0652,3.046,2.259,4.958,2.088,12.578,,,,,,41.4
IE000DR59CI3,86.21,24.74,49.86,,30.28,-13.79,-2.52,-3.48,6.0173,2.728,4.572,6.252,1.61,14.326,,,,,,53.6
IE000AIFGRB9,58.4,-3.08,32.22,,20.18,-9.64,-1.9,-2.83,2.5726,2.716,3.574,6.058,1.583,22.701,,,,,,59.2
FR0010524777,61.06,11.54,33.85,,21.16,-7.77,-1.99,-2.81,2.9326,2.716,3.758,7.861,1.594,20.821,,,,,,60.0
IE000J0LN0R5,60.33,-3.91,,,21.22,-12.35,-1.98,-3.09,3.3247,2.674,3.535,4.884,1.558,18.148,,,,,,56.9
FR0010930644,54.22,8.56,29.53,,20.06,-8.59,-1.84,-2.47,3.7127,2.524,4.047,6.31,1.492,14.604,,,,,,57.6
IE000MELAE65,56.55,-4.85,,,21.06,-11.22,-2.04,-3.0,2.9573,2.515,3.185,5.042,1.522,19.124,,,,,,54.8
IE000JNHCBM6,56.13,1.68,,,21.14,-6.48,-1.8,-2.74,2.2335,2.485,3.485,8.657,1.527,25.133,,,,,,55.6
IE0007WMHDE3,35.97,1.96,,,14.0,-4.11,-1.37,-1.87,1.4524,2.313,3.405,8.749,1.47,24.765,,,,,,56.1
IE000JZYIUN0,49.6,10.73,26.62,,20.0,-8.62,-1.62,-2.56,3.3358,2.301,3.591,5.751,1.46,14.87,,,,,,52.8
LU1681046006,44.93,-0.98,,,18.08,-8.74,-1.36,-2.3,2.3143,2.286,3.362,5.143,1.493,19.415,,,,,,54.5
IE0005HNE843,29.2,4.08,,,11.26,-4.18,-1.0,-1.68,1.5065,2.274,2.95,6.995,1.464,19.386,,,,,,57.3
